stop_id,stop_name,routes
bus-jalan-mayjen-sutoyo-pasar-gading-4125f520,Portabel Jl. Mayjen Sutoyo (Pasar Gading),3B|9
bus-jogokaryan-kimia-farma-1-89e48fc3,Portabel Jogokaryan Kimia Farma 1,11|9
bus-simpang-demak-ijo-d6a576b5,Portabel Simpang Demak Ijo,8
bus-soragan-1-0aad9df9,Portabel Soragan 1,13|8
bus-soragan-2-49e0e9cb,Portabel Soragan 2,13|8
bus-total-security-sp-demak-ijo-1a6933c9,Portabel Total Security (SP Demak Ijo),8
bus-pasar-kalasan-a79eab4a,Portable Pasar Kalasan,1A
bus-prayan-w-756ecdc4,Prayan (Barat),12|2A|4B
bus-prayan-e-d22ce9c8,Prayan (Timur),12|2B|4A
bus-progo-e27cb7fc,Progo,10|15|1A|1B|6
bus-pusat-kuliner-belut-godean-7bc5eef1,Pusat Kuliner Belut Godean,13
bus-pusat-rehabilitasi-yakkum-c69b76c2,Pusat Rehabilitasi YAKKUM,12|14
bus-pusat-rehabilitasi-yakkum-halte-2-8dc4e258,Pusat Rehabilitasi YAKKUM (Halte 2),12|14
bus-puskesmas-ngaglik-w-6d1129d1,Puskesmas Ngaglik (B),12
bus-puskesmas-ngaglik-e-30242ad9,Puskesmas Ngaglik (T),12
bus-puskesmas-ngaglik-1-halte-2-356048c0,Puskesmas Ngaglik 1 (Halte 2),12
bus-puskesmas-ngaglik-i-ac4d2b11,Puskesmas Ngaglik I,12
bus-puskesmas-ngemplak-s-a008b614,Puskesmas Ngemplak (S),14
bus-puskesmas-ngemplak-n-e2f0f0c6,Puskesmas Ngemplak (U),14
bus-puskesmas-ngemplak-2-145b1653,Puskesmas Ngemplak 2,14
bus-puskesmas-ngemplak-2-halte-2-baf9532f,Puskesmas Ngemplak 2 (Halte 2),14
bus-rs-hardjolukito-9e48d6f4,RS Hardjolukito,3B
bus-rs-kemasan-b3d3f265,RS Kemasan,14
bus-rs-kemasan-w-62b71712,RS Kemasan (B),14
