stop_name,candidate_activity_id,candidate_name,longitude,latitude,routes,score
Kantor Kapanewon Bantul,6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,110.33170883084773,-7.883524911426363,15,0.710000
Kompi Senapan-C (Selatan),6a881c1fd57440d48a1f3af3,Halte Kompi Senapan-C,110.33256331627194,-7.777350027437976,8,1.000000
Kosudgama (U),6a8d081852d86e03b51a643e,Halte Kosudgama,110.37864509142526,-7.776162838724844,12,1.000000
Halte TJ Colombo (Kosudgama),6a8d081852d86e03b51a643e,Halte Kosudgama,110.37864509142526,-7.776162838724844,2A,0.615385
TPB Lowanu,6a89267052d86e03b5183591,Halte Lowanu A,110.37603009886237,-7.817054694483318,3A,0.714286
Portable Teras Malioboro 2,6a85506ebbd0aa678bab6390,Halte Malioboro 2,110.36559857460782,-7.795185718747462,10|15|1A|1B|6,0.738095
Halte Malioboro 2 (Kepatihan),6a85506ebbd0aa678bab6390,Halte Malioboro 2,110.36559857460782,-7.795185718747462,10|15|1A|2A|3A|6|8|EV3,0.679167
McD Jakal (T),6a89118b52d86e03b5181907,Halte McD Jakal,110.37992598967958,-7.762818007809386,12,1.000000
Mirota Godean (U),6a881ff9d57440d48a1f3e49,Halte Mirota Godean A,110.34974498502766,-7.781089730154192,13,0.823810
Mirota Godean (S),6a881ff9d57440d48a1f3e49,Halte Mirota Godean A,110.34974498502766,-7.781089730154192,13,0.823810
Pasar Bantul,6a82a2a04fd70be4125ce466,Halte Pasar Bantul - A,110.33099059332824,-7.885181333721874,15,0.820513
Pasar Bantul (Halte 2),6a82a2a04fd70be4125ce466,Halte Pasar Bantul - A,110.33099059332824,-7.885181333721874,15,0.654118
TPB Demangan,6a8e9c3b52d86e03b51b5e70,Halte Pasar Demangan,110.38846776345031,-7.779400709828366,1A|4A|5A,0.636364
TPB Pasar Giwangan 2,6a893609478dc3b356b73fd7,Halte Pasar Giwangan B,110.39020459947233,-7.8324834343696494,3A|3B|4A|4B,0.762500
TPB Pasar Giwangan 1,6a893609478dc3b356b73fd7,Halte Pasar Giwangan B,110.39020459947233,-7.8324834343696494,3A|3B|4A|4B,0.762500
Pasar Kranggan (Timur),6a882a323be6880665735cad,Halte Pasar Kranggan Selatan,110.36565971152436,-7.7829259605858025,2A,0.733333
Halte Pasar Kranggan,6a882a323be6880665735cad,Halte Pasar Kranggan Selatan,110.36565971152436,-7.7829259605858025,11|3B|EV3,0.733333
Pasar Legi Yogyakarta,6a8a96810d6732db988c0e35,Halte Pasar Legi A,110.35020939084734,-7.809236124165178,6,0.636364
TPB Pasar Legi,6a8a96810d6732db988c0e35,Halte Pasar Legi A,110.35020939084734,-7.809236124165178,6,0.812121
Pasar Niten,6a82b6aa38bb192425f4cb20,Halte Pasar Niten B,110.35116605596033,-7.838112114882222,15,0.816667
Pasar Niten (Halte 2),6a82b6aa38bb192425f4cb20,Halte Pasar Niten B,110.35116605596033,-7.838112114882222,15,0.610000
Pasar Pingit (U),6a8824323be68806657354c9,Halte Pasar Pingit A,110.35884881664526,-7.782752724266089,13|8,0.820513
Pasar Pingit (Selatan),6a8824323be68806657354c9,Halte Pasar Pingit A,110.35884881664526,-7.782752724266089,8,0.820513
Pasar Serangan (S),6a8d470c52d86e03b51aa113,Halte Pasar Serangan A,110.3542366775277,-7.801076533486338,13,0.826667
TPB Pasar Serangan,6a8d470c52d86e03b51aa113,Halte Pasar Serangan A,110.3542366775277,-7.801076533486338,11|2B|9,0.826667
TPB Pasty,6a856783bbd0aa678bab80f3,Halte Pasty A,110.35449860903964,-7.825713953198374,15,0.700000
Plaza UNY (B),6a8e9ac146690fc6c68da2e3,Halte Plaza UNY,110.38906775739389,-7.775019362075398,12,1.000000
RS Panti Rapih (S),6a8d0a83eca288692ef377ee,Halte RS Panti Rapih,110.37822992213239,-7.776234113554651,12,1.000000
TPB Panti Rapih,6a8d0a83eca288692ef377ee,Halte RS Panti Rapih,110.37822992213239,-7.776234113554651,11|2B|3A|5A,0.794667
RS Sardjito (B),6a8ceff1eca288692ef36913,Halte RS Sardjito Barat,110.37420361014381,-7.767887440982534,12|3B|4A|5A,0.738095
SD Unggulan Aisyiyah 2,6a829b479870dcf66e457d85,Halte SD Unggulan Aisyiyah A,110.3240343098866,-7.894986058741424,15,0.812727
SD Unggulan Aisyiyah 1,6a829b479870dcf66e457d85,Halte SD Unggulan Aisyiyah A,110.3240343098866,-7.894986058741424,15,0.812727
SMAN 1 (B),6a8d49f652d86e03b51aa44c,Halte SMAN 1 A,110.35215644875063,-7.799414141999378,13,0.780952
SMA N 1 Bantul I,6a8298ab9870dcf66e457a70,Halte SMAN 1 Bantul - A,110.3229557481767,-7.897399830417839,15,0.656221
Halte SMA N 1 Bantul 2,6a8298ab9870dcf66e457a70,Halte SMAN 1 Bantul - A,110.3229557481767,-7.897399830417839,15,0.656221
SMAN 1 Kasihan (Barat),6a8a9a2252d86e03b519321f,Halte SMAN 1 Kasihan A,110.34826419609499,-7.818373736802727,6,0.860000
SMAN 1 Kasihan (Timur),6a8a9a2252d86e03b519321f,Halte SMAN 1 Kasihan A,110.34826419609499,-7.818373736802727,6,0.860000
TPB SMK Seni 2,6a8a984752d86e03b5192fa5,Halte SMK Seni A,110.34906199212219,-7.8145398572160065,6,0.740000
TPB SMK Seni 1,6a8a984752d86e03b5192fa5,Halte SMK Seni A,110.34906199212219,-7.8145398572160065,6,0.740000
TPB SMP Kanisius Gayam (Timur),6a939468dc237a3a8a7a0bf6,Halte SMP Kanisius Gayam Timur,110.37780935550774,-7.7956066832174855,10|2B,0.814286
SMPN 14,6a8ba82fa4262ae1033d0be2,Halte SMP N 14,110.3598915994072,-7.786639735892905,EV3,0.660000
SMPN 11 (B),6a8d4cbc52d86e03b51aa790,Halte SMPN 11,110.35336727286722,-7.793053560897515,13,1.000000
