source_id,dataset,name,category,subcategory,longitude,latitude,observed_date,source
6a6af8f03c4ecfd6914fb7c5,propertigo,,Ruko,Disewa,110.37419995106546,-7.7971297907890715,,mapid_missions
6a6af8f03c4ecfd6914fb7c6,propertigo,,Tanah,Dijual,110.3747036046945,-7.7969818362074506,,mapid_missions
6a6af8f03c4ecfd6914fb7c7,propertigo,,Rumah,Disewa,110.37515493877231,-7.796982241276197,,mapid_missions
6a6af8f03c4ecfd6914fb7c8,propertigo,,Rumah,Disewa,110.37551245301353,-7.797058611367987,,mapid_missions
6a6af8f03c4ecfd6914fb7c9,propertigo,,Rumah,Dijual,110.3790799914284,-7.797486665689561,,mapid_missions
6a6af8f03c4ecfd6914fb7ca,propertigo,,Ruko,Disewa,110.38089372729848,-7.79736681345311,,mapid_missions
6a6af8f03c4ecfd6914fb7cb,propertigo,,Rumah,Dijual,110.3813552345245,-7.797510875130328,,mapid_missions
6a6af8f03c4ecfd6914fb7cc,propertigo,,Ruko,Dijual,110.36521024436416,-7.796846665424042,,mapid_missions
6a6af8f03c4ecfd6914fb7cd,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Disewa,110.36573961012294,-7.794752413372379,,mapid_missions
6a6af8f03c4ecfd6914fb7da,propertigo,,Ruko,Dijual,110.40437461111156,-7.827859540883196,,mapid_missions
6a6af8f03c4ecfd6914fb7de,propertigo,,Rumah,Dijual,110.42703939880613,-7.822752154273672,,mapid_missions
6a6af8f03c4ecfd6914fb812,propertigo,,Rumah,Disewa,110.45275551382645,-7.788641605597263,,mapid_missions
6a6af8f03c4ecfd6914fb813,propertigo,,Tanah,Dijual,110.45274346477169,-7.788779792484831,,mapid_missions
6a6af8f03c4ecfd6914fb814,propertigo,,Rumah,Dijual,110.4414654748536,-7.800314535481405,,mapid_missions
6a6af8f03c4ecfd6914fb815,propertigo,,Tanah,Dijual,110.44157771764816,-7.800604395426973,,mapid_missions
6a6af8f03c4ecfd6914fb816,propertigo,,Tanah,Dijual,110.42799452655811,-7.822009422565813,,mapid_missions
6a6af8f03c4ecfd6914fb817,propertigo,,Ruko,Disewa,110.42715056546001,-7.82371951313219,,mapid_missions
6a6af8f03c4ecfd6914fb818,propertigo,,Gudang,Disewa,110.43133577234346,-7.825685846800695,,mapid_missions
6a6af8f03c4ecfd6914fb819,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Disewa,110.4316202341567,-7.8256024996007625,,mapid_missions
6a6af8f03c4ecfd6914fb81a,propertigo,,Ruko,Disewa,110.43578606819358,-7.8271553100770035,,mapid_missions
6a6af8f03c4ecfd6914fb81b,propertigo,,Ruko,Disewa,110.44045739454288,-7.8277239730127235,,mapid_missions
6a6af8f03c4ecfd6914fb81c,propertigo,,Ruko,Disewa,110.440578434413,-7.827726272488107,,mapid_missions
6a6af8f03c4ecfd6914fb81d,propertigo,,Ruko,Disewa,110.42999388609718,-7.825024577420592,,mapid_missions
6a6af8f03c4ecfd6914fb81e,propertigo,,Ruko,Disewa,110.40194048965134,-7.8328209118648715,,mapid_missions
6a6af8f03c4ecfd6914fb81f,propertigo,,Rumah,Disewa,110.4022737501947,-7.834278669437666,,mapid_missions
6a6af8f03c4ecfd6914fb820,propertigo,,Ruko,Disewa,110.40268700154138,-7.828582178837763,,mapid_missions
6a6af8f03c4ecfd6914fb821,propertigo,,Rumah,Dijual,110.40256843420781,-7.828667800356527,,mapid_missions
6a6af8f03c4ecfd6914fb822,propertigo,,"Retail (toko baju, peralatan olahraga, toko elektronik, dll)",Dijual,110.39915152140475,-7.827668109107719,,mapid_missions
6a6af8f03c4ecfd6914fb823,propertigo,,Ruko,Dijual,110.39588489967679,-7.827261491563007,,mapid_missions
6a6af8f03c4ecfd6914fb835,propertigo,,Tanah,Dijual,110.40635848531531,-7.82809946334811,,mapid_missions
6a6af8f03c4ecfd6914fb836,propertigo,,Rumah,Dijual,110.41442312770425,-7.824305602078539,,mapid_missions
