source_id,kind,name,longitude,latitude,observed_at,source
6a8d552852d86e03b51aae83,becak,Pangkalan becak di depan BRI malioboro dan toko jolo batik,110.36508830000002,-7.7979517,2026-08-25T08:41:12.587Z,mapid_activities
6a8d480952d86e03b51aa1fb,becak,Pangkalan becak di depan Halte malioboro 2,110.36541280004082,-7.795172199994724,2026-08-25T07:45:13.850Z,mapid_activities
6a8d523852d86e03b51aac67,becak,Pangkalan becak di depan kampoeng ketandan,110.36518969999298,-7.79744479996252,2026-08-25T08:28:40.611Z,mapid_activities
6a8591813dbe4dacc784e17c,becak,Pangkalan becak di depan kantor DPRD DIY,110.36584999998877,-7.792166999978363,2026-08-19T11:20:33.107Z,mapid_activities
6a8bd7f752d86e03b519ce59,becak,Pangkalan becak di depan Mall Malioboro,110.36560120000001,-7.7931213,2026-08-24T05:34:47.848Z,mapid_activities
6a8bd86c52d86e03b519ce80,becak,Pangkalan becak di depan Mall Malioboro,110.36577879997117,-7.793523600000299,2026-08-24T05:36:44.543Z,mapid_activities
6a8d536252d86e03b51aad5a,becak,Pangkalan becak di depan mall Ramayana,110.36508460000186,-7.797537199981207,2026-08-25T08:33:38.061Z,mapid_activities
6a858e793dbe4dacc784df28,becak,Pangkalan becak di depan masjid malioboro,110.3658942999964,-7.791742799995362,2026-08-19T11:07:37.105Z,mapid_activities
6a858fd53dbe4dacc784e097,becak,Pangkalan becak di depan masjid Malioboro dan ATM Bank BPD DIY,110.36585329999792,-7.79197669998959,2026-08-19T11:13:25.395Z,mapid_activities
6a8d588452d86e03b51ab173,becak,Pangkalan becak di depan pasar beringarjo,110.36510089999149,-7.7984652999751916,2026-08-25T08:55:32.039Z,mapid_activities
6a8d61f3eca288692ef3cba5,becak,Pangkalan becak di depan pasar sore malioboro,110.36505459998733,-7.799388899988045,2026-08-25T09:35:47.852Z,mapid_activities
6a8d49b152d86e03b51aa421,becak,Pangkalan becak di depan sekretariat lembaga pemberdayaan masyarakat,110.36543029997642,-7.79568859997751,2026-08-25T07:52:17.850Z,mapid_activities
6a8d4bb1eca288692ef3b89a,becak,Pangkalan becak di depan taman batik terang bulan,110.36532749999805,-7.796278900000189,2026-08-25T08:00:49.045Z,mapid_activities
6a8bd5f6a4262ae1033d1a4e,becak,Pangkalan becak di depan tempat parkir Mall Malioboro,110.36563749996157,-7.7925012999904055,2026-08-24T05:26:14.369Z,mapid_activities
6a8d515152d86e03b51aab88,becak,Pangkalan becak di depan toko bakpia & shop djoen lama,110.3650991000041,-7.79706830000417,2026-08-25T08:24:49.717Z,mapid_activities
6a8bd9fba4262ae1033d1d24,becak,Pangkalan becak di depan toko Batik Hayuningrat,110.3655473000095,-7.794205000021989,2026-08-24T05:43:23.468Z,mapid_activities
6a8d5b8552d86e03b51ab308,becak,Pangkalan becak di depan toko mas bintang mataram,110.36502450001632,-7.7987007999922895,2026-08-25T09:08:21.161Z,mapid_activities
