Jalur,Jumlah Armada,Rute,Jam Operasional,Rute Yang Dilewati
6,6,Halte Gamping (Ambarketawang) - Halte Malioboro 3,05.30 - 20.30,Park and Ride Gamping - PKU Gamping - Pasar Gamping (Utara) - Portabel BSI - TPB UMY 2 - TPB BRI UMY - TPB Universitas Alma Ata - Jadan 2 - TPB Kasihan - TPB Simpang Diklat DIY - TPB Gedung Madu Candhya 2 - SMAN 1 Kasihan (Barat) - TPB SMK Seni 2 - Pasar Legi Yogyakarta - Muallimin (Utara) - Portabel Tejokusuman (Tamansari) - Halte Ngabean - KHA Dahlan (Utara) - Taman Pintar - TPB Jl. Mayor Suryotomo - Progo - Jl. Mataram Hotel Akur - Portable Teras Malioboro 2 - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - KHA Dahlan (Selatan) - Halte Ngabean - Muallimin (Selatan) - TPB Pasar Legi - TPB SMK Seni 1 - SMAN 1 Kasihan (Timur) - TPB Gedung Madu Candhya 1 - TPB Ponpes Hamatul Quran - TPB Lap. Kasihan - Jadan 1 - TPB Apotek Muji Sehat - TPB UMY 1 - TPB AMIK BSI - Pasar Gamping (Selatan) - BPD Gamping (Selatan) - Park and Ride Gamping
8,6,Terminal Jombor - Halte Ngabean,05.30 - 20.30,Terminal Jombor - Portabel UTY Ringroad Utara 2 - Portable Dusun Ngawen - Portabel Westlake 2 - RS Queen Latifa - Perumahan Nogotirto - Portabel Simpang Demak Ijo - Simpang Godean Nogotirto - Kantor Pos Demak Ijo - SDN 1 Demak Ijo - Pasar Tlogorejo - Portabel McD Godean - Portabel Soragan 1 - Badan Kepegawaian DI Yogyakarta - Pasar Pingit (Utara) - Halte Pasar Krangan - Halte Mangkubumi 1 - Halte Mangkubumi 2 - Eks Menara Kopi (Utara) - Halte Kridosono - Eks Menara Kopi (Selatan) - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - Halte KHA Dahlan (Selatan) - Halte Ngabean - KHA Dahlan (Utara) - Bhayangkara - Pasar Pathuk - Sosrowijayan - Stasiun Yogyakarta - Jlagran - Eks Perpusda - Halte SMP N 14 - Pasar Pingit (Selatan) - BKD (Selatan) - Portabel Soragan 2 - Portabel Dentes (Ruko Godean) - Pasar Tlogorejo 2 - SDN 1 Demak Ijo 2 - Kantor Pos Demak Ijo 2 - Halte Simpang Nogotirto - Kompi Senapan-C (Selatan) - Portabel Total Security (SP Demak Ijo) - SMP 3 Gamping - TPB UNISA - Portabel Westlake 1 - Portabel UTY Ringroad Utara 1 - Terminal Jombor
9,6,Terminal Giwangan - Terminal Jombor,05.30 - 20.30,Terminal Giwangan - TPB UAD Ringroad Selatan 2 - TPB Simpang Wojo 1 - Salakan Druwo - Jogokariyan - Portabel Jl. Mayjen Sutoyo (Jokteng Wetan) - Portabel Jl. Mayjen Sutoyo (Pasar Gading) - Halte MT Haryono 2 (SMA N 7) - Portabel Tejokusuman (Tamansari) - Halte Ngabean - TPB Pasar Serangan - Halte Cokroaminoto SMA 1 - Halte SMPN 11- Eks Perpusda - Halte SMP N 14 - Hotel Utara - Kricak - Karangwaru (Barat) - TVRI (Barat) - Daytrans Jl. Magelang - Jogja City Mall (Barat) - MMTC Yogya - Terminal Jombor - Indogrosir - Jogja City Mall (Timur) - Atakrib Jl. Magelang - TPB TVRI (Timur) - Karangwaru (Timur) - Hotel Utara (Timur) - Halte Samsat - Halte Saudagaran - Halte SMA 1 Yogyakarta - TPB RE Martadinata - Halte Ngabean - Portable Tamansari - TPB MT Haryono 1 (Jokteng Kulon) - TPB Jl. Mayjen Sutoyo (Plengkung Gading) - Halte Hotel Noola - Portabel Jogokaryan Kimia Farma 1 - Portabel Druwo - TPB UAD Ringroad Selatan 1 - Terminal Giwangan
10,7,Park Gamping - Kusumanegara,05.30 - 20.30,Park and Ride Gamping - PKU Gamping - Pasar Gamping (Utara) - Palem Gurih - TPB Ruko Bayeman 2 - TPB Museum Bahari 2 - SMP Muhammadiyah 3 - GKJ Wirobrajan (Timur) - Muallimin (Utara) - Portabel Tejokusuman (Tamansari) - Halte Ngabean - KHA Dahlan (Utara) - Taman Pintar - Suryotomo - Progo - Jl. Mataram Hotel Akur - Portable Teras Malioboro 2 - Eks Menara Kopi (Utara) - Halte Kridosono - Lempuyangan Gudang (Utara) - Stasiun Lempuyangan - Tarumartani (Utara) - Mako Lanal Yogyakarta - Timoho (Timur) - SMK N 5 (Utara) - SGM Kusumanegara (Selatan) - Timoho (Barat) - TPB TNI AL 1 - TPB Tarumartani - SMP Kanisius Gayam (Timur) - Jl. Mataram Hotel Akur - Portable Teras Malioboro 2 - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - KHA Dahlan (Selatan) - Halte Ngabean - Muallimin (Selatan) - SMA Muhammadiyah 3 - TPB Wirobrajan 1 - TPB Museum Bahari 1 - TPB Ruko Bayeman 1 - TPB Pelem Gurih - Pasar Gamping (Selatan) - BPD Gamping (Selatan) - Park and Ride Gamping
11,5,Terminal Giwangan - RS Panti Rapih,05.30 - 20.30,Terminal Giwangan - TPB UAD Ringroad Selatan 2 - Randubelang (Barat) - TPB Pasar Telo 1 - Jogokariyan - TPB Hotel Pramesthi - TPB Ruba Graha 1 - Suryodiningratan (Barat) - Halte MT Haryono 2 (SMAN 7) - Portabel Tejokusuman (Tamansari) - Halte Ngabean - TPB Pasar Serangan - Halte Cokroaminoto SMA 1 - Halte SMPN 11 - Eks Perpusda - Halte SMP N 14 - Halte Pasar Kranggan - Halte Sudirman (Santika) - Halte TJ Cik Di Tiro 2 - TPB SMPN 1 Yogyakarta - TPB Panti Rapih - Halte Cik Di Tiro 1 - Halte Bulog - Halte Kridosono - Halte TJ Kotabaru - Halte Sudirman Bumiputera - Halte TJ Diponegoro - Halte Samsat - Halte Saudagaran - Halte SMA 1 Yogyakarta - TPB RE Martadinata - Halte Ngabean - Portable Tamansari - TPB MT Haryono 1 (Jokteng Kulon) - Suryodiningratan (Timur) - TPB Ruba Graha 2 - Portabel Jogokaryan Kimia Farma 1 - TPB Pasar Telo 2 - Randubelang (Timur) - TPB UAD Ringroad Selatan 1 - Terminal Giwangan
12,7,Terminal Condong Catur - Terminal Pakem,05.30 - 20.30,Terminal Condong Catur - SPBU Condongcatur (Timur) - Prayan (Timur) - Susteran Novisiat - Halte Sanata Dharma - JL Colombo (Samirono) - JL Colombo (Panti Raph) - Vokasi UGM - FKG UGM (Selatan) - Halte RS Sardjito (Barat) - MM UGM - TPB Hotel Vidi Jakal - Hokben Jakal (Barat) - Superindo Kaliurang - Pasar Kolombo - Terminal Bangunan - Simpang Palem Raya (Timur) - Kantor Camat Ngaglik - Puskesmas Ngaglik I - SMP Negeri 2 Ngaglik - Warung Sego Penyetan Banyuwangi - Wedangan Kampoeng - Simpang Besi Jangkang - Pusat Rehabilitasi YAKKUM - Boulevard UII - UII (Barat Jalan) - Simpang Dogolan - Raminten Boutique & Cafe - Dusun Kledokan (Soto Brakot) - RS Panti Nugroho - Terminal Pakem - SMPN 4 Pakem - Dusun Kledokan (Soto Brakot) 2 - Raminten Boutique & Cafe (Halte 2) - Simpang Dogolan 2 - Boulevard UII - UII (Timur Jalan) - Pusat Rehabilitasi YAKKUM (Halte 2) - Simpang Besi Jangkang 2 - Wedangan Kampoeng (Timur) - SPBU Kaliurang - SMP Negeri 2 Ngaglik (Timur) - Puskesmas Ngaglik 1 (Halte 2) - TK Bias Kaliurang - Simpang Palem Raya (Timur) - PLN Gardu Induk Kentungan - Pasar Kolombo (Timur) - Superindo Kaliurang (Halte 2) - Hokben Jakal (Timur) - TPB McD Jakal - Biologi UGM - Halte RS Sardjito (Timur) - FKG UGM (Utara) - Halte GIK UGM - Halte TJ Colombo (Kosudgama) - TPB Jl. Colombo (UNY) - Plaza UNY - Santren - Prayan (Barat) - SPBU Condongcatur (Barat) - Terminal Condong Catur
13,5,Halte Ngabean - Pusat Kuliner Belut Godean,05.30 - 20.30,Halte Ngabean - TPB Pasar Serangan - Halte Cokroaminoto SMA 1 - Halte SMPN 11 - Portabel Soragan 2 - Portabel Dentes (Ruko Godean) - Pasar Tlogorejo 2 - SDN 1 Demak Ijo 2 - Kantor Pos Demak Ijo 2 - Halte Simpang Nogotirto - Kompi Senapan-C (Selatan) - Barat Jembatan Moyudan (Toko Saerah) 2 - Kantor Desa Sidoarum - Barat Simpang Bantulan 2 - Simpang Munggur Sidomoyo - Simpang Gesikan 2 - Indomaret Klajuran - Neutron Yogyakarta Godean - Simpang Polsek Godean 2 - Koramil Godean 2 - Simpang Mandungan (Iwak Kalen) 2 - Kantor Kecamatan Godean - Pusat Kuliner Belut Godean - Kantor Kecamatan Godean (Halte 2) - Simpang Mandungan (Iwak Kalen) - Koramil Godean - Simpang Polsek Godean - Neutron Yogyakarta Godean (Halte 2) - Indomaret Klajuran - Simpang Gesikan - Simpang Munggur - Timur Simpang Bantulan - Kantor Desa Sidoarum - Barat Jembatan Moyudan (Toko Saerah) - Simpang Godean Nogotirto - Kantor Pos Demak Ijo - SDN 1 Demak Ijo - Pasar Tlogorejo - Portabel McD Godean - Portabel Soragan 1 - Badan Kepegawaian DI Yogyakarta - Pasar Pingit (Utara) - Halte Pasar Kranggan - Halte Sudirman (Santika) - Halte Bulog - Halte Kridosono - Eks Menara Kopi Selatan - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - KHA Dahlan (Selatan) - Halte Ngabean
14,2,Halte Bandara Adisucipto - Terminal Pakem,05.30 - 20.30,Halte TJ Bandara Adisucipto - Kantor Kesehatan Pelabuhan Yogya - TJ RRU Disnaker - SMKN 1 Depok - SD N 1 Depok - Kantor Urusan Agama Depok - MAN 2 Sleman - Kampus Unriyo - SMA Budi Mulia Dua - Indomaret Pokoh Sambiroto - Kantor Desa Wedomartani - Simpang Babadan - Simpang Selomartani - Simpang Kabunan - Halte Raya Kabunan - RS Kemasan - Dusun Kenthi - Simpang Pasar Jangkang - Puskesmas Ngemplak 2 - Tugu Batas Desa Yapah - Timur Jembatan Yapah - SMA Negeri 2 Ngaglik - Simpang Losari (Cozy) - SPBU Mindi - Lapangan Klidon - SDN Selomulyo - RSU Gramedika - Simpang Besi Jangkang - Pusat Rehabilitasi YAKKUM - Boulevard UII - UII (Barat Jalan) - Simpang Dogolan - Raminten Boutique & Cafe - Dusun Kledokan (Soto Brakot) - RS Panti Nugroho - Terminal Pakem - SD N Percobaan 3 Pakem - SMPN 4 Pakem - Dusun Kledokan (Soto Brakot) 2 - Raminten Boutique & Cafe (Halte 2) - Simpang Dogolan 2 - Boulevard UII - UII (Timur Jalan) - Pusat Rehabilitasi YAKKUM (Halte 2) - Simpang Besi Jangkang 2 - RSU Gramedika 2 - SD Negeri Selomulyo (Halte 2) - Kantor Kal. Sukoharjo - Lapangan Klidon 2 - SPBU Mindi 2 - Simpang Losari (Cozy) - SMA Negeri 2 Ngaglik (Halte 2) - Timur Jembatan Yapah 2 - Tugu Batas Desa Yapah 2 - Puskesmas Ngemplak 2 (Halte 2) - Simpang Pasar Jangkang (Halte 2) - Dusun Kenthi 2 - RS Kemasan (Halte 2) - Halte Raya Kabunan - Simpang Kabunan (Halte 2) - Simpang Selomartani 2 - Simpang Babadan 2 - Kantor Desa Wedomartani (Halte 2) - Indomaret Pokoh Sambiroto 2 - SMA Budi Mulia Dua (Halte 2) - Kampus Unriyo 2 - MAN 2 Sleman (Halte 2) - Kantor Urusan Agama Depok (Halte 2) - Pasar Stan - SMKN 1 Depok (Halte 2) - Disnakertrans DI Yogyakarta - Selokan Mataram Maguwo - Halte TJ RRU (Binamarga) - Halte Jl. Solo Maguwo - Halte TJ Bandara Adisucipto
15,11,Halte Malioboro 3 - Terminal Palbapang (B),05.30 - 20.30,Halte Malioboro 3 - KHA Dahlan (Selatan) - Halte Ngabean - Portable Tamansari - Halte Gereja Pugeran - Dukuh (Timur) - Park and Ride Dongkelan (Pasty) - Simpang Dongkelan - Pasar Niten - Simpang Kasongan - Kantor Badan Kesatuan Bangsa & Politik - Kantor Kelurahan Pendowoharjo - Halte SMP N 2 Bantul - Kantor Kapanewon Bantul - Pasar Bantul - Eks. Stasiun KA Bantul - Tugu Adipura Bantul (Polres Bantul) - Simpang Gose (Halte 1) - SD Unggulan Aisyiyah 2 - SMA N 1 Bantul I - Terminal Palbapang (B) - Halte SMA N 1 Bantul 2 - SD Unggulan Aisyiyah 1 - Simpang Gose (Halte 2) - Halte Tugu Adipura Bantul (Halte 2) - Pasar Bantul (Halte 2) - Halte BRI Cabang Bantul - Halte Karanggede - Kantor Kelurahan Pendowoharjo - Kantor Badan Kesatuan Bangsa & Politik (Halte 2) - Simpang Kasongan (Halte 2) - Pasar Niten (Halte 2) - Simpang Dongkelan (Halte 2) - TPB Pasty - Dukuh (Barat) - FIP UNY - Portabel Tejokusuman (Tamansari) - Halte Ngabean - KHA Dahlan (Utara) - Taman Pintar - Suryotomo - Progo - Jl. Mataram Hotel Akur - Portable Teras Malioboro 2 - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3
EV 3,2,Halte Terminal Jombor - Halte Malioboro 3,05.30 - 20.30,Terminal Jombor - Indogrosir - Jogja City Mall (Timur) - Atakrib Jl. Magelang - TPB TVRI (Timur) - Karangwaru (Timur) - Hotel Utara (Timur) - Halte Pasar Kranggan - Halte Mangkubumi 1 - Halte Mangkubumi 2 - Halte Malioboro 1 - Halte Malioboro 2 (Kepatihan) - Halte Malioboro 3 - Portabel Bhayangkara - Portabel Pasar Pathuk Yogyakarta - Sosrowijayan - Stasiun Yogyakarta - Jlagran - Eks Perpusda - Halte SMP N 14 - Hotel Utara - Kricak - Karangwaru (Barat) - TVRI (Barat) - Daytrans Jl. Magelang - Jogja City Mall (Barat) - MMTC Yogya - Terminal Jombor
