stop_id,stop_name,mode,candidate_activity_id,candidate_name,candidate_direction_code,longitude,latitude,observed_at,match_reason,score,rank,evidence_count
bus-druwo-12f06437,Portabel Druwo,bus,6a8d3c84eca288692ef3a5ff,Halte Druwo B,,110.36666430409952,-7.833556389829525,2026-08-25T06:56:04.556Z,fuzzy,0.700000,2,1
bus-dukuh-e-9d567c71,Dukuh (Timur),bus,6a8569d6bbd0aa678bab8408,Halte Dukuh A,,110.35521879380076,-7.821689730573439,2026-08-19T08:31:18.388Z,fuzzy,0.700000,1,1
bus-dukuh-e-9d567c71,Dukuh (Timur),bus,6a8564d8bbd0aa678bab7c92,Halte Dukuh B,,110.35541361670408,-7.820929333911266,2026-08-19T08:10:00.568Z,fuzzy,0.700000,2,1
bus-dukuh-w-69bdab86,Dukuh (Barat),bus,6a8569d6bbd0aa678bab8408,Halte Dukuh A,,110.35521879380076,-7.821689730573439,2026-08-19T08:31:18.388Z,fuzzy,0.700000,1,1
bus-dukuh-w-69bdab86,Dukuh (Barat),bus,6a8564d8bbd0aa678bab7c92,Halte Dukuh B,,110.35541361670408,-7.820929333911266,2026-08-19T08:10:00.568Z,fuzzy,0.700000,2,1
bus-edotel-kalasan-1-a343eedf,TPB Edotel Kalasan 1,bus,6a86de220235f477d35918c3,Halte Edotel Kalasan A,,110.48271546730604,-7.75677283791336,2026-08-20T10:59:46.361Z,fuzzy,0.762500,1,1
bus-edotel-kalasan-2-9b48bce6,TPB Edotel Kalasan 2,bus,6a86de220235f477d35918c3,Halte Edotel Kalasan A,,110.48271546730604,-7.75677283791336,2026-08-20T10:59:46.361Z,fuzzy,0.762500,1,1
bus-eks-borobudur-plaza-9ab82812,Eks Borobudur Plaza,bus,6a828cb470c999b67933ee47,Halte Trans Jogja - Borobudhur Plaza,,110.36205652519521,-7.778807194560243,2026-08-17T04:23:16.349Z,fuzzy,0.614286,1,1
bus-eks-menara-kopi-n-a0aeefe1,Eks Menara Kopi (Utara),bus,6a86be25460277aa8415118b,Halte Eks Menara Kopi A,,110.37010514084454,-7.789256599640282,2026-08-20T08:43:17.989Z,fuzzy,0.862500,1,1
bus-eks-menara-kopi-n-a0aeefe1,Eks Menara Kopi (Utara),bus,6a86beab89acf23707a35190,Halte Eks Menara Kopi B,,110.37007950053442,-7.7894575408621165,2026-08-20T08:45:31.514Z,fuzzy,0.862500,2,1
bus-eks-menara-kopi-s-dd0efb75,Eks Menara Kopi (S),bus,6a86be25460277aa8415118b,Halte Eks Menara Kopi A,,110.37010514084454,-7.789256599640282,2026-08-20T08:43:17.989Z,fuzzy,0.862500,1,1
bus-eks-menara-kopi-s-dd0efb75,Eks Menara Kopi (S),bus,6a86beab89acf23707a35190,Halte Eks Menara Kopi B,,110.37007950053442,-7.7894575408621165,2026-08-20T08:45:31.514Z,fuzzy,0.862500,2,1
