source_id,name,canonical_name,direction_code,longitude,latitude,observed_at
6a82a4ed4fd70be4125ce721,Halte Kantor Kap. Bantul,kantor kap bantul,,110.33170883084773,-7.883524911426363,2026-08-17T06:06:37.561Z
6a82a5f44fd70be4125ce85c,Halte BRI Bantul,bri bantul,,110.33223962062823,-7.882134560860607,2026-08-17T06:11:00.793Z
6a82a6e438bb192425f4b896,Halte RS Bethesda,rs bethesda,,110.37788045948008,-7.783092673752378,2026-08-17T06:15:00.246Z
6a82a86c38bb192425f4ba3b,Halte SMPN 2 Bantul B,smpn 2 bantul b,,110.33578293978212,-7.874954761818117,2026-08-17T06:21:32.877Z
6a82a97038bb192425f4bbad,Halte SMPN 2 Bantul A,smpn 2 bantul a,,110.33576157585333,-7.8745041194765975,2026-08-17T06:25:52.417Z
6a82aa139870dcf66e458f1f,Halte Stasiun Lempuyangan,lempuyangan,,110.37746284627354,-7.790234774910843,2026-08-17T06:28:35.004Z
6a82ab0d38bb192425f4bd80,Halte Kantor Kal. Pendowoharjo B,kantor kal pendowoharjo b,,110.33948455676943,-7.863724888175241,2026-08-17T06:32:45.133Z
6a82abfd38bb192425f4bef7,Halte Kantor Kal. Pendowoharjo A,kantor kal pendowoharjo a,,110.33947652623834,-7.863394360607018,2026-08-17T06:36:45.070Z
6a82ace038bb192425f4c051,Halte Pasar Lempuyangan,pasar lempuyangan,,110.37347150000141,-7.79239319998895,2026-08-17T06:40:32.816Z
6a82af1e4fd70be4125cf44e,Halte Hayam Wuruk B,hayam wuruk b,,110.37280618046145,-7.794565791929273,2026-08-17T06:50:06.727Z
6a82b0c438bb192425f4c552,Halte Hayam Wuruk A,hayam wuruk a,,110.3726422000492,-7.795566199997523,2026-08-17T06:57:08.363Z
6a82b1609870dcf66e459968,Halte Kantor Kesbangpol B,kantor kesbangpol b,,110.34136781478492,-7.85677568638242,2026-08-17T06:59:44.322Z
6a82b28438bb192425f4c71c,Halte Kantor Kesbangpol A,kantor kesbangpol a,,110.34136251171253,-7.8563818099374885,2026-08-17T07:04:36.376Z
6a82b40738bb192425f4c874,Halte Simpang Kasongan B,simpang kasongan b,,110.34358978283205,-7.848589662466566,2026-08-17T07:11:03.880Z
6a82b53038bb192425f4c960,Halte Simpang Kasongan A,simpang kasongan a,,110.3445162159357,-7.846381616403178,2026-08-17T07:16:00.191Z
